,sLabel,sNameLong,sCat,sDetail
0,001,Mudra1/Ardhachandra,Mudra1,Ardhachandra
1,002,Mudra1/Ardhapataka,Mudra1,Ardhapataka
2,003,Mudra1/Chandrakala,Mudra1,Chandrakala
3,004,Mudra1/Chatura,Mudra1,Chatura
4,005,Mudra1/Kartarimukha,Mudra1,Kartarimukha
5,006,Mudra1/Pataka,Mudra1,Pataka
6,007,Mudra1/Sarpashirsha,Mudra1,Sarpashirsha
7,008,Mudra1/Shikhara,Mudra1,Shikhara
8,009,Mudra1/Tripataka,Mudra1,Tripataka
9,010,Mudra1/Trishula,Mudra1,Trishula
10,011,Mudra2/Anjali,Mudra2,Anjali
11,012,Mudra2/Chakram,Mudra2,Chakram
12,013,Mudra2/Hamsapaksha,Mudra2,Hamsapaksha
13,014,Mudra2/Mayura,Mudra2,Mayura
14,015,Mudra2/Mrigashirsha,Mudra2,Mrigashirsha
15,016,Mudra2/Sandamsha,Mudra2,Sandamsha
16,017,Mudra2/Swastikam,Mudra2,Swastikam
17,018,Mudra2/Tamrachuda,Mudra2,Tamrachuda
18,019,Mudra2/Vitarka,Mudra2,Vitarka
19,020,ItalianGestures/AndateVia,ItalianGestures,AndateVia
20,022,ItalianGestures/CheFurbo,ItalianGestures,CheFurbo
21,021,ItalianGestures/Bellissima,ItalianGestures,Bellissima
22,023,ItalianGestures/ChePalle,ItalianGestures,ChePalle
23,024,ItalianGestures/CheVuoi,ItalianGestures,CheVuoi
24,025,ItalianGestures/DAccordo,ItalianGestures,DAccordo
25,026,ItalianGestures/Madonna,ItalianGestures,Madonna
26,027,ItalianGestures/NonMiFrega,ItalianGestures,NonMiFrega
27,028,ItalianGestures/Perfetto,ItalianGestures,Perfetto
28,029,ItalianGestures/SeiPazzo,ItalianGestures,SeiPazzo
29,030,ItalianGestures/VieniQua,ItalianGestures,VieniQua
30,031,ChineseNumbers/ba,ChineseNumbers,ba
31,032,ChineseNumbers/ling,ChineseNumbers,ling
32,034,ChineseNumbers/qi,ChineseNumbers,qi
33,035,ChineseNumbers/shi,ChineseNumbers,shi
34,033,ChineseNumbers/liu,ChineseNumbers,liu
35,036,ChineseNumbers/si,ChineseNumbers,si
36,037,ChineseNumbers/wu,ChineseNumbers,wu
37,038,ChineseNumbers/yi,ChineseNumbers,yi
38,039,GestunoColors/654_colour_couleur,GestunoColors,654_colour_couleur
39,040,GestunoColors/655_black_noir,GestunoColors,655_black_noir
40,041,GestunoColors/656_white_blanc,GestunoColors,656_white_blanc
41,042,GestunoColors/657_red_rouge,GestunoColors,657_red_rouge
42,043,GestunoColors/658_yellow_jaune,GestunoColors,658_yellow_jaune
43,044,GestunoColors/659_orange_orange,GestunoColors,659_orange_orange
44,045,GestunoColors/660_bleu_blue,GestunoColors,660_bleu_blue
45,046,GestunoColors/661_green_vert,GestunoColors,661_green_vert
46,047,GestunoColors/662_purple_violet,GestunoColors,662_purple_violet
47,048,GestunoColors/663_brown_brun,GestunoColors,663_brown_brun
48,049,GestunoDisaster/102_thunderstorm_orage,GestunoDisaster,102_thunderstorm_orage
49,050,GestunoDisaster/108_tide_maree,GestunoDisaster,108_tide_maree
50,051,GestunoDisaster/109_dought_secheresse,GestunoDisaster,109_dought_secheresse
51,052,GestunoDisaster/110_earthquake_trembleme,GestunoDisaster,110_earthquake_trembleme
52,053,GestunoDisaster/111_famine_famine,GestunoDisaster,111_famine_famine
53,054,GestunoDisaster/112_flood_inondation,GestunoDisaster,112_flood_inondation
54,055,GestunoDisaster/113_tornado_tornade,GestunoDisaster,113_tornado_tornade
55,056,GestunoDisaster/114_hurricane_ouragan,GestunoDisaster,114_hurricane_ouragan
56,057,GestunoLandscape/63_moon_lune,GestunoLandscape,63_moon_lune
57,058,GestunoLandscape/64_sky_ciel,GestunoLandscape,64_sky_ciel
58,059,GestunoLandscape/66_star_etoile,GestunoLandscape,66_star_etoile
59,060,GestunoLandscape/67_sun_soleil,GestunoLandscape,67_sun_soleil
60,061,GestunoLandscape/81_hill_colline,GestunoLandscape,81_hill_colline
61,062,GestunoLandscape/82_mountain_montagne,GestunoLandscape,82_mountain_montagne
62,063,GestunoLandscape/83_valley_vall,GestunoLandscape,83_valley_vall
63,064,GestunoLandscape/84_summit_sommet,GestunoLandscape,84_summit_sommet
64,065,GestunoLandscape/85_volcano_volcan,GestunoLandscape,85_volcano_volcan
65,066,GestunoLandscape/88_desert_desert,GestunoLandscape,88_desert_desert
66,067,GestunoLandscape/89_lake_lac,GestunoLandscape,89_lake_lac
67,068,GestunoLandscape/90_river_fleuve,GestunoLandscape,90_river_fleuve
68,069,GestunoLandscape/91_sea_mer,GestunoLandscape,91_sea_mer
69,070,GestunoSmallAnimals/125_bird_oiseau,GestunoSmallAnimals,125_bird_oiseau
70,071,GestunoSmallAnimals/127_butterfly_papillon,GestunoSmallAnimals,127_butterfly_papillon
71,072,GestunoSmallAnimals/129_cat_chat,GestunoSmallAnimals,129_cat_chat
72,073,GestunoSmallAnimals/131_crab_crabe,GestunoSmallAnimals,131_crab_crabe
73,074,GestunoSmallAnimals/132_dog_chien,GestunoSmallAnimals,132_dog_chien
74,075,GestunoSmallAnimals/134_fish_-,GestunoSmallAnimals,134_fish_-
75,076,GestunoSmallAnimals/141_mouse_souris,GestunoSmallAnimals,141_mouse_souris
76,077,GestunoSmallAnimals/143_pigeon_pigeon,GestunoSmallAnimals,143_pigeon_pigeon
77,078,GestunoSmallAnimals/150_worm_ver,GestunoSmallAnimals,150_worm_ver
78,079,GestunoTopography/65_space_espace,GestunoTopography,65_space_espace
79,080,GestunoTopography/77_city_ville,GestunoTopography,77_city_ville
80,081,GestunoTopography/78_suburbs_banlieu,GestunoTopography,78_suburbs_banlieu
81,082,GestunoTopography/79_village_village,GestunoTopography,79_village_village
82,083,GestunoTopography/80_countryside_campagne,GestunoTopography,80_countryside_campagne
83,084,GestunoTopography/86_soil_sol,GestunoTopography,86_soil_sol
84,085,GestunoTopography/87_ground_terre,GestunoTopography,87_ground_terre
85,086,GestunoTopography/92_harbour_port,GestunoTopography,92_harbour_port
86,087,GestunoTopography/93_peninsula,GestunoTopography,93_peninsula
87,088,GestunoTopography/94_island_ile,GestunoTopography,94_island_ile
88,089,GestunoTopography/95_region_region,GestunoTopography,95_region_region
89,090,MusicNotes/do,MusicNotes,do
90,091,MusicNotes/do2,MusicNotes,do2
91,092,MusicNotes/fa,MusicNotes,fa
92,093,MusicNotes/la,MusicNotes,la
93,094,MusicNotes/mi,MusicNotes,mi
94,095,MusicNotes/re,MusicNotes,re
95,096,MusicNotes/sol,MusicNotes,sol
96,097,MusicNotes/ti,MusicNotes,ti
97,098,CanadaAviationGroundCirculation1/Coupez,CanadaAviationGroundCirculation1,Coupez
98,099,CanadaAviationGroundCirculation1/DemarrezMoteurs,CanadaAviationGroundCirculation1,DemarrezMoteurs
99,100,CanadaAviationGroundCirculation1/DirigezVousVers,CanadaAviationGroundCirculation1,DirigezVousVers
100,101,CanadaAviationGroundCirculation1/FaceMe,CanadaAviationGroundCirculation1,FaceMe
101,102,CanadaAviationGroundCirculation1/Freins,CanadaAviationGroundCirculation1,Freins
102,103,CanadaAviationGroundCirculation1/Incendie,CanadaAviationGroundCirculation1,Incendie
103,104,CanadaAviationGroundCirculation1/Ralentissez,CanadaAviationGroundCirculation1,Ralentissez
104,105,CanadaAviationGroundCirculation1/VirezADroite,CanadaAviationGroundCirculation1,VirezADroite
105,106,CanadaAviationGroundCirculation1/VirezAGauche,CanadaAviationGroundCirculation1,VirezAGauche
106,107,CanadaAviationGroundCirculation2/AlimentationBranchee,CanadaAviationGroundCirculation2,AlimentationBranchee
107,108,CanadaAviationGroundCirculation2/AlimentationDeBranchee,CanadaAviationGroundCirculation2,AlimentationDeBranchee
108,109,CanadaAviationGroundCirculation2/Avancez,CanadaAviationGroundCirculation2,Avancez
109,110,CanadaAviationGroundCirculation2/CalesEnlevees,CanadaAviationGroundCirculation2,CalesEnlevees
110,111,CanadaAviationGroundCirculation2/CalesMi,CanadaAviationGroundCirculation2,CalesMi
111,112,CanadaAviationGroundCirculation2/Faites,CanadaAviationGroundCirculation2,Faites
112,113,CanadaAviationGroundCirculation2/Fait,CanadaAviationGroundCirculation2,Fait
113,114,CanadaAviationGroundCirculation,,CanadaAviationGroundCirculation
114,115,CanadaAviationGroundCirculation2/Ralentiss,CanadaAviationGroundCirculation2,Ralentiss
115,116,CanadaAviationGroundCirculation2/Recul,CanadaAviationGroundCirculation2,Recul
116,117,CraneHandSignals/BoomUp,CraneHandSignals,BoomUp
117,118,CraneHandSignals/EmergencySto,CraneHandSignals,EmergencySto
118,119,CraneHandSignals/EverythingSlow,CraneHandSignals,EverythingSlow
119,120,CraneHandSignals/LowerBoom,CraneHandSignals,LowerBoom
120,122,CraneHandSignals/RaiseLoadSlowly,CraneHandSignals,RaiseLoadSlowly
121,124,CraneHandSignals/RoutineStop,CraneHandSignals,RoutineStop
122,121,CraneHandSignals/LowerLoadSlowly,CraneHandSignals,LowerLoadSlowly
123,123,CraneHandSignals/RetractBoom,CraneHandSignals,RetractBoom
124,125,CraneHandSignals/SwingBoom,CraneHandSignals,SwingBoom
125,126,CraneHandSignals/TrolleyOut,CraneHandSignals,TrolleyOut
126,127,CraneHandSignals/WalkCraneForward,CraneHandSignals,WalkCraneForward
127,128,DivingSignals1/Around,DivingSignals1,Around
128,130,DivingSignals1/Danger,DivingSignals1,Danger
129,131,DivingSignals1/DontKnow,DivingSignals1,DontKnow
130,129,DivingSignals1/ComeHere,DivingSignals1,ComeHere
131,132,DivingSignals1/OKsurface,DivingSignals1,OKsurface
132,133,DivingSignals1/Over,DivingSignals1,Over
133,134,DivingSignals1/Under,DivingSignals1,Under
134,135,DivingSignals1/Watch,DivingSignals1,Watch
135,136,DivingSignals2/CannotOpenReserve,DivingSignals2,CannotOpenReserve
136,137,DivingSignals2/Cold,DivingSignals2,Cold
137,138,DivingSignals2/Help,DivingSignals2,Help
138,139,DivingSignals2/Me,DivingSignals2,Me
139,140,DivingSignals2/Meet,DivingSignals2,Meet
140,141,DivingSignals2/OutOfAir,DivingSignals2,OutOfAir
141,142,DivingSignals2/PressureBalancePb,DivingSignals2,PressureBalancePb
142,143,DivingSignals2/ReserveOpened,DivingSignals2,ReserveOpened
143,144,DivingSignals2/Stop,DivingSignals2,Stop
144,145,DivingSignals2/You,DivingSignals2,You
145,146,DivingSignals3/Boat,DivingSignals3,Boat
146,147,DivingSignals3/Fast,DivingSignals3,Fast
147,148,DivingSignals3/NotUnderstood,DivingSignals3,NotUnderstood
148,149,DivingSignals3/Slowly,DivingSignals3,Slowly
149,150,DivingSignals3/SomethingWrong,DivingSignals3,SomethingWrong
150,151,DivingSignals3/TieUp,DivingSignals3,TieUp
151,152,DivingSignals3/Vertigo,DivingSignals3,Vertigo
152,153,DivingSignals3/Wreck,DivingSignals3,Wreck
153,154,DivingSignals4/HoldHands,DivingSignals4,HoldHands
154,155,DivingSignals4/HowMuchAir,DivingSignals4,HowMuchAir
155,156,DivingSignals4/Lead,DivingSignals4,Lead
156,157,DivingSignals4/LevelOff,DivingSignals4,LevelOff
157,158,DivingSignals4/MoveApart,DivingSignals4,MoveApart
158,159,DivingSignals4/StayTogether,DivingSignals4,StayTogether
159,160,DivingSignals4/WhichWay,DivingSignals4,WhichWay
160,161,GangHandSignals1/Blood,GangHandSignals1,Blood
161,162,GangHandSignals1/ComptonCrip,GangHandSignals1,ComptonCrip
162,163,GangHandSignals1/Crip,GangHandSignals1,Crip
163,164,GangHandSignals1/EastSide,GangHandSignals1,EastSide
164,165,GangHandSignals1/HooberCrio,GangHandSignals1,HooberCrio
165,166,GangHandSignals1/MafiaCrips,GangHandSignals1,MafiaCrips
166,167,GangHandSignals1/UndergroundCrip,GangHandSignals1,UndergroundCrip
167,168,GangHandSignals2/Killas,GangHandSignals2,Killas
168,169,GangHandSignals2/LatinKings,GangHandSignals2,LatinKings
169,170,GangHandSignals2/OKBloodKilla,GangHandSignals2,OKBloodKilla
170,171,GangHandSignals2/OKCripKilla,GangHandSignals2,OKCripKilla
171,172,GangHandSignals2/Piru,GangHandSignals2,Piru
172,173,GangHandSignals2/WestCoast,GangHandSignals2,WestCoast
173,174,GangHandSignals2/WestSide,GangHandSignals2,WestSide
174,175,HelicopterSignals/HoldHover,HelicopterSignals,HoldHover
175,176,HelicopterSignals/Land,HelicopterSignals,Land
176,177,HelicopterSignals/LiftOff,HelicopterSignals,LiftOff
177,178,HelicopterSignals/MoveDownward,HelicopterSignals,MoveDownward
178,179,HelicopterSignals/MoveForward,HelicopterSignals,MoveForward
179,180,HelicopterSignals/MoveLeft,HelicopterSignals,MoveLeft
180,181,HelicopterSignals/MoveRight,HelicopterSignals,MoveRight
181,182,HelicopterSignals/MoveUpward,HelicopterSignals,MoveUpward
182,183,HelicopterSignals/ReleaseSlingLoad,HelicopterSignals,ReleaseSlingLoad
183,184,RefereeVolleyballSignals1/BallOut,RefereeVolleyballSignals1,BallOut
184,185,RefereeVolleyballSignals1/BallOutAfterPlayerContact,RefereeVolleyballSignals1,BallOutAfterPlayerContact
185,186,RefereeVolleyballSignals1/DoubleFaultOrPlayover,RefereeVolleyballSignals1,DoubleFaultOrPlayover
186,187,RefereeVolleyballSignals1/EndOfGame,RefereeVolleyballSignals1,EndOfGame
187,188,RefereeVolleyballSignals1/IllegalBlockOrScreen,RefereeVolleyballSignals1,IllegalBlockOrScreen
188,189,RefereeVolleyballSignals1/Timeout,RefereeVolleyballSignals1,Timeout
189,190,RefereeVolleyballSignals2/BallInBounds,RefereeVolleyballSignals2,BallInBounds
190,191,RefereeVolleyballSignals2/BallServedIntoNetPlayerTouchingNet,RefereeVolleyballSignals2,BallServedIntoNetPlayerTouchingNet
191,192,RefereeVolleyballSignals2/BeckoningTheServe,RefereeVolleyballSignals2,BeckoningTheServe
192,193,RefereeVolleyballSignals2/CenterLineViolation,RefereeVolleyballSignals2,CenterLineViolation
193,194,RefereeVolleyballSignals2/HeldThrownLiftedCarried,RefereeVolleyballSignals2,HeldThrownLiftedCarried
194,195,RefereeVolleyballSignals2/IllegalAttackOrBlockOverNet,RefereeVolleyballSignals2,IllegalAttackOrBlockOverNet
195,196,RefereeVolleyballSignals2/LossOfRallyOrPoint,RefereeVolleyballSignals2,LossOfRallyOrPoint
196,197,RefereeVolleyballSignals2/OutOfRotationOrOverlap,RefereeVolleyballSignals2,OutOfRotationOrOverlap
197,198,RefereeWrestlingSignals1/DeferChoice,RefereeWrestlingSignals1,DeferChoice
198,199,RefereeWrestlingSignals1/FalseStart,RefereeWrestlingSignals1,FalseStart
199,200,RefereeWrestlingSignals1/FlagrantMisconduct,RefereeWrestlingSignals1,FlagrantMisconduct
200,201,RefereeWrestlingSignals1/IllegalHold,RefereeWrestlingSignals1,IllegalHold
201,202,RefereeWrestlingSignals1/InterlockingHands,RefereeWrestlingSignals1,InterlockingHands
202,203,RefereeWrestlingSignals1/NearFall,RefereeWrestlingSignals1,NearFall
203,204,RefereeWrestlingSignals1/NoControl,RefereeWrestlingSignals1,NoControl
204,205,RefereeWrestlingSignals1/out,RefereeWrestlingSignals1,out
205,206,RefereeWrestlingSignals2/PotentiallyDangerous,RefereeWrestlingSignals2,PotentiallyDangerous
206,207,RefereeWrestlingSignals2/Reversal,RefereeWrestlingSignals2,Reversal
207,208,RefereeWrestlingSignals2/Stalemate,RefereeWrestlingSignals2,Stalemate
208,209,RefereeWrestlingSignals2/Stalling,RefereeWrestlingSignals2,Stalling
209,210,RefereeWrestlingSignals2/StartInjuryClock,RefereeWrestlingSignals2,StartInjuryClock
210,211,RefereeWrestlingSignals2/StopInjuryClock,RefereeWrestlingSignals2,StopInjuryClock
211,212,RefereeWrestlingSignals2/StopMatch,RefereeWrestlingSignals2,StopMatch
212,214,RefereeWrestlingSignals2/TimeOut,RefereeWrestlingSignals2,TimeOut
213,215,RefereeWrestlingSignals2/WrestlerInControl,RefereeWrestlingSignals2,WrestlerInControl
214,213,RefereeWrestlingSignals2/TechnicalViolation,RefereeWrestlingSignals2,TechnicalViolation
215,216,SurgeonSignals/ArmyNavyRetractor,SurgeonSignals,ArmyNavyRetractor
216,217,SurgeonSignals/CurvedForceps,SurgeonSignals,CurvedForceps
217,218,SurgeonSignals/CurvedScissors,SurgeonSignals,CurvedScissors
218,219,SurgeonSignals/NeedleHolder,SurgeonSignals,NeedleHolder
219,220,SurgeonSignals/Scalpel,SurgeonSignals,Scalpel
220,221,SurgeonSignals/StraightForceps,SurgeonSignals,StraightForceps
221,222,SurgeonSignals/StraightScissors,SurgeonSignals,StraightScissors
222,223,SurgeonSignals/Syringe,SurgeonSignals,Syringe
223,224,SurgeonSignals/TissueForceps,SurgeonSignals,TissueForceps
224,225,SwatHandSignals1/DogNeeded,SwatHandSignals1,DogNeeded
225,226,SwatHandSignals1/MirrorNeeded,SwatHandSignals1,MirrorNeeded
226,227,SwatHandSignals1/OKClear,SwatHandSignals1,OKClear
227,228,SwatHandSignals1/Quickly,SwatHandSignals1,Quickly
228,229,SwatHandSignals1/Stop,SwatHandSignals1,Stop
229,230,SwatHandSignals2/CoverNeeded,SwatHandSignals2,CoverNeeded
230,231,SwatHandSignals2/DoorClosed,SwatHandSignals2,DoorClosed
231,232,SwatHandSignals2/DoorOpen,SwatHandSignals2,DoorOpen
232,233,SwatHandSignals2/Listen,SwatHandSignals2,Listen
233,234,SwatHandSignals2/ManDown,SwatHandSignals2,ManDown
234,235,SwatHandSignals2/Obstruction,SwatHandSignals2,Obstruction
235,236,SwatHandSignals2/ToMe,SwatHandSignals2,ToMe
236,237,TaxiSouthAfrica/TaxiHandSigns10,TaxiSouthAfrica,TaxiHandSigns10
237,238,TaxiSouthAfrica/TaxiHandSigns2,TaxiSouthAfrica,TaxiHandSigns2
238,239,TaxiSouthAfrica/TaxiHandSigns3,TaxiSouthAfrica,TaxiHandSigns3
239,240,TaxiSouthAfrica/TaxiHandSigns6,TaxiSouthAfrica,TaxiHandSigns6
240,241,TaxiSouthAfrica/TaxiHandSigns9,TaxiSouthAfrica,TaxiHandSigns9
241,242,TractorOperationSignals/ComeToMe,TractorOperationSignals,ComeToMe
242,243,TractorOperationSignals/MoveOut,TractorOperationSignals,MoveOut
243,244,TractorOperationSignals/MoveTowardM,TractorOperationSignals,MoveTowardM
244,245,TractorOperationSignals/SlowItDown,TractorOperationSignals,SlowItDown
245,246,TractorOperationSignals/SpeedItUp,TractorOperationSignals,SpeedItUp
246,247,TractorOperationSignals/StartTheEngine,TractorOperationSignals,StartTheEngine
247,248,TractorOperationSignals/StopTheEngine,TractorOperationSignals,StopTheEngine
248,249,TractorOperationSignals/ThisFarToGo,TractorOperationSignals,ThisFarToGo
